event_type,machine_id,operator_code,session_id,tag_id,po,del,oc,roll,timestamp
UNATTRIBUTED_SCAN,MACHINE-001,,,,,,,,2026-07-21 10:55:21
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:41:14,,,2026-07-21 13:41:14
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 13:41:14,60,,2026-07-21 13:41:14
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:41:14,,,2026-07-21 13:41:17
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:42:59,,,2026-07-21 13:42:59
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:42:59,,,2026-07-21 13:43:13
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:43:25,,,2026-07-21 13:43:25
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:43:25,,,2026-07-21 13:43:30
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:43:38,,,2026-07-21 13:43:38
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:43:38,,,2026-07-21 13:43:41
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:44:44,,,2026-07-21 13:44:44
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:44:44,,,2026-07-21 13:44:47
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:44:50,,,2026-07-21 13:44:50
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 13:44:50,68,= U.,2026-07-21 13:44:51
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 13:54:12,,,2026-07-21 13:54:12
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 13:54:12,,,2026-07-21 13:55:06
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 14:00:03,,2026-07-21 14:00:03
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 14:00:03,Aipl-26-27-0231.1,2026-07-21 14:00:18
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 14:04:37,,2026-07-21 14:04:37
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 14:04:37,Aipl-26-27-0231.1,2026-07-21 14:05:16
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 14:04:37,Aipl-26-27-0231.1,2026-07-21 14:05:22
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,,2026-07-21 15:13:57
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,Aipl-26-27-0231.1,2026-07-21 15:14:09
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,1960285650859994;0002,2026-07-21 15:14:25
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,1964876122557996;0006,2026-07-21 15:15:07
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,1964876122557996;0006,2026-07-21 15:15:32
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:13:57,1964876122557996;0006,2026-07-21 15:16:06
UNATTRIBUTED_SCAN,MACHINE-001,,,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:28:33
UNATTRIBUTED_SCAN,MACHINE-001,,,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:28:40
UNATTRIBUTED_SCAN,MACHINE-001,,,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:28:44
UNATTRIBUTED_SCAN,MACHINE-001,,,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:29:10
UNATTRIBUTED_SCAN,MACHINE-001,,,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:29:19
UNATTRIBUTED_SCAN,MACHINE-001,,,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:29:26
UNATTRIBUTED_SCAN,MACHINE-001,,,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:29:37
UNATTRIBUTED_SCAN,MACHINE-001,,,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:29:43
LOGIN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,,,,2026-07-21 15:30:02
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:30:18
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:30:45
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,1964876122557996;0006,1964876122557996,0006,2026-07-21 15:31:02
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,1048249566500185;0005,1048249566500185,0005,2026-07-21 15:31:10
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:31:17
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:31:29
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,3538092220889362;0001,3538092220889362,0001,2026-07-21 15:31:45
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,1960285650859994;0002,1960285650859994,0002,2026-07-21 15:32:00
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,8843829578204856;0003,8843829578204856,0003,2026-07-21 15:32:05
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,2909343822199677;0004,2909343822199677,0004,2026-07-21 15:32:09
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,1048249566500185;0005,1048249566500185,0005,2026-07-21 15:32:13
SCAN,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,1964876122557996;0006,1964876122557996,0006,2026-07-21 15:32:17
LOGOUT,MACHINE-001,BF11921,BF11921_2026-07-21 15:30:02,,,,2026-07-21 15:32:23
UNATTRIBUTED_SCAN,MACHINE-001,,,1964876122557996;0006,1964876122557996,0006,2026-07-21 15:48:15
